Step,q1,q2,q3,q4,q5
131,180.0,-40.85,-9.93,45.76,0.0
132,180.0,-41.52,-9.32,46.85,0.0
133,180.0,-42.18,-8.72,47.93,0.0
134,180.0,-42.83,-8.12,49.0,0.0
135,180.0,-43.48,-7.52,50.06,0.0
136,180.0,-44.12,-6.93,51.12,0.0
137,180.0,-44.76,-6.34,52.16,0.0
138,180.0,-45.39,-5.76,53.2,0.0
139,180.0,-46.02,-5.19,54.23,0.0
140,180.0,-46.64,-4.62,55.25,0.0
141,180.0,-47.26,-4.05,56.26,0.0
142,180.0,-47.87,-3.49,57.25,0.0
143,180.0,-48.47,-2.94,58.24,0.0
144,180.0,-49.07,-2.39,59.22,0.0
145,180.0,-49.66,-1.85,60.19,0.0
146,180.0,-50.24,-1.31,61.15,0.0
147,180.0,-50.82,-0.78,62.09,0.0
148,180.0,-51.39,-0.26,63.03,0.0
149,180.0,-51.95,0.26,63.95,0.0
150,180.0,-52.51,0.77,64.86,0.0
151,180.0,-53.06,1.27,65.76,0.0
152,180.0,-53.6,1.77,66.65,0.0
153,180.0,-54.13,2.26,67.52,0.0
154,180.0,-54.66,2.74,68.38,0.0
155,180.0,-55.18,3.22,69.23,0.0
156,180.0,-55.69,3.69,70.06,0.0
157,180.0,-56.19,4.15,70.89,0.0
158,180.0,-56.68,4.6,71.69,0.0
159,180.0,-57.16,5.04,72.49,0.0
160,180.0,-57.64,5.48,73.27,0.0
161,180.0,-58.11,5.91,74.03,0.0
162,180.0,-58.57,6.33,74.78,0.0
163,180.0,-59.01,6.74,75.52,0.0
164,180.0,-59.45,7.14,76.24,0.0
165,180.0,-59.88,7.54,76.94,0.0
166,180.0,-60.3,7.93,77.63,0.0
167,180.0,-60.72,8.3,78.3,0.0
168,180.0,-61.12,8.67,78.96,0.0
169,180.0,-61.51,9.03,79.6,0.0
170,180.0,-61.89,9.38,80.23,0.0
171,180.0,-62.26,9.72,80.83,0.0
172,180.0,-62.62,10.05,81.42,0.0
173,180.0,-62.97,10.37,81.99,0.0
174,180.0,-63.31,10.68,82.55,0.0
175,180.0,-63.63,10.98,83.09,0.0
176,180.0,-63.95,11.27,83.61,0.0
177,180.0,-64.26,11.55,84.11,0.0
178,180.0,-64.55,11.82,84.59,0.0
179,180.0,-64.83,12.08,85.05,0.0
180,180.0,-65.1,12.33,85.49,0.0
181,180.0,-65.36,12.57,85.92,0.0
182,180.0,-65.61,12.8,86.32,0.0
183,180.0,-65.85,13.01,86.71,0.0
184,180.0,-66.07,13.22,87.08,0.0
185,180.0,-66.28,13.41,87.42,0.0
186,180.0,-66.48,13.59,87.75,0.0
187,180.0,-66.66,13.76,88.05,0.0
188,180.0,-66.84,13.92,88.33,0.0
189,180.0,-66.99,14.07,88.59,0.0
190,180.0,-67.14,14.2,88.83,0.0
191,180.0,-67.27,14.32,89.05,0.0
192,180.0,-67.39,14.43,89.25,0.0
193,180.0,-67.5,14.53,89.42,0.0
194,180.0,-67.59,14.62,89.57,0.0
195,180.0,-67.67,14.69,89.7,0.0
196,180.0,-67.74,14.75,89.81,0.0
197,180.0,-67.79,14.79,89.89,0.0
198,180.0,-67.82,14.83,89.95,0.0
199,180.0,-67.85,14.85,89.99,0.0
200,180.0,-67.85,14.86,90.0,0.0
