Step,q1,q2,q3,q4,q5
132,-180.0,-11.51,17.46,24.14,0.0
133,-180.0,-11.09,17.29,23.53,0.0
134,-180.0,-10.68,17.11,22.93,0.0
135,-180.0,-10.27,16.94,22.34,0.0
136,-180.0,-9.87,16.76,21.75,0.0
137,-180.0,-9.47,16.59,21.16,0.0
138,-180.0,-9.07,16.42,20.58,0.0
139,-180.0,-8.67,16.25,20.01,0.0
140,-180.0,-8.28,16.09,19.44,0.0
141,-180.0,-7.9,15.92,18.88,0.0
142,-180.0,-7.51,15.76,18.32,0.0
143,-180.0,-7.13,15.59,17.76,0.0
144,-180.0,-6.76,15.43,17.22,0.0
145,-180.0,-6.39,15.27,16.68,0.0
146,-180.0,-6.02,15.12,16.14,0.0
147,-180.0,-5.66,14.96,15.61,0.0
148,-180.0,-5.3,14.81,15.09,0.0
149,-180.0,-4.94,14.66,14.57,0.0
150,-180.0,-4.59,14.51,14.06,0.0
151,-180.0,-4.25,14.36,13.56,0.0
152,-180.0,-3.91,14.21,13.06,0.0
153,-180.0,-3.57,14.07,12.57,0.0
154,-180.0,-3.24,13.93,12.09,0.0
155,-180.0,-2.92,13.79,11.62,0.0
156,-180.0,-2.6,13.65,11.15,0.0
157,-180.0,-2.28,13.52,10.69,0.0
158,-180.0,-1.97,13.39,10.24,0.0
159,-180.0,-1.67,13.26,9.8,0.0
160,-180.0,-1.37,13.13,9.36,0.0
161,-180.0,-1.07,13.0,8.93,0.0
162,-180.0,-0.79,12.88,8.51,0.0
163,-180.0,-0.5,12.76,8.1,0.0
164,-180.0,-0.23,12.64,7.7,0.0
165,-180.0,0.04,12.52,7.3,0.0
166,-180.0,0.31,12.41,6.92,0.0
167,-180.0,0.57,12.3,6.54,0.0
168,-180.0,0.82,12.19,6.17,0.0
169,-180.0,1.06,12.09,5.82,0.0
170,-180.0,1.3,11.98,5.47,0.0
171,-180.0,1.54,11.88,5.13,0.0
172,-180.0,1.76,11.79,4.8,0.0
173,-180.0,1.98,11.69,4.48,0.0
174,-180.0,2.2,11.6,4.17,0.0
175,-180.0,2.4,11.51,3.87,0.0
176,-180.0,2.6,11.43,3.58,0.0
177,-180.0,2.79,11.35,3.3,0.0
178,-180.0,2.98,11.27,3.03,0.0
179,-180.0,3.16,11.19,2.77,0.0
180,-180.0,3.33,11.12,2.52,0.0
181,-180.0,3.49,11.05,2.28,0.0
182,-180.0,3.65,10.98,2.06,0.0
183,-180.0,3.79,10.92,1.84,0.0
184,-180.0,3.93,10.86,1.64,0.0
185,-180.0,4.07,10.8,1.44,0.0
186,-180.0,4.19,10.75,1.26,0.0
187,-180.0,4.31,10.7,1.09,0.0
188,-180.0,4.42,10.65,0.93,0.0
189,-180.0,4.52,10.61,0.79,0.0
190,-180.0,4.61,10.57,0.65,0.0
191,-180.0,4.69,10.54,0.53,0.0
192,-180.0,4.77,10.5,0.42,0.0
193,-180.0,4.83,10.47,0.32,0.0
194,-180.0,4.89,10.45,0.24,0.0
195,-180.0,4.94,10.43,0.17,0.0
196,-180.0,4.98,10.41,0.11,0.0
197,-180.0,5.01,10.4,0.06,0.0
198,-180.0,5.04,10.39,0.03,0.0
199,-180.0,5.05,10.38,0.01,0.0
200,-180.0,5.06,10.38,0.0,0.0
