step,q1,q2,q3,q4,q5
113,58.390396,21.954826,-63.617123,-89.951096,0.0
114,58.390376,21.996397,-63.797527,-89.951108,0.0
115,58.390357,22.036279,-63.970599,-89.951120,0.0
116,58.390338,22.074470,-64.136332,-89.951132,0.0
117,58.390321,22.110968,-64.294720,-89.951143,0.0
118,58.390304,22.145657,-64.445255,-89.951153,0.0
119,58.390288,22.178866,-64.589370,-89.951163,0.0
120,58.390273,22.210192,-64.725313,-89.951172,0.0
121,58.390259,22.240025,-64.854778,-89.951181,0.0
122,58.390246,22.267911,-64.975792,-89.951190,0.0
123,58.390233,22.294411,-65.090792,-89.951198,0.0
124,58.390221,22.319098,-65.197923,-89.951205,0.0
125,58.390210,22.341958,-65.297126,-89.951212,0.0
126,58.390200,22.363191,-65.389267,-89.951218,0.0
127,58.390190,22.382724,-65.474036,-89.951224,0.0
128,58.390182,22.400655,-65.551849,-89.951230,0.0
129,58.390174,22.416944,-65.622535,-89.951235,0.0
130,58.390167,22.431539,-65.685873,-89.951239,0.0
131,58.390161,22.444342,-65.741434,-89.951243,0.0
132,58.390156,22.455503,-65.789869,-89.951246,0.0
133,58.390151,22.464907,-65.830676,-89.951249,0.0
134,58.390147,22.472659,-65.864318,-89.951251,0.0
135,58.390144,22.478757,-65.890780,-89.951253,0.0
136,58.390142,22.483126,-65.909738,-89.951254,0.0
137,58.390141,22.485804,-65.921362,-89.951255,0.0
138,58.390140,22.486846,-65.925883,-89.951256,0.0
139,58.390140,22.487052,-65.926776,-89.951256,0.0
140,58.390140,22.487090,-65.926942,-89.951256,0.0
141,58.390140,22.487097,-65.926973,-89.951256,0.0
142,58.390140,22.487098,-65.926978,-89.951256,0.0
143,58.390140,22.487099,-65.926979,-89.951256,0.0
144,58.390140,22.487099,-65.926979,-89.951256,0.0
145,58.390140,22.487099,-65.926980,-89.951256,0.0
146,58.390140,22.487099,-65.926980,-89.951256,0.0
147,58.390140,22.487099,-65.926980,-89.951256,0.0
148,58.390140,22.487099,-65.926980,-89.951256,0.0
149,58.390140,22.487099,-65.926980,-89.951256,0.0
150,58.390140,22.487099,-65.926980,-89.951256,0.0
151,58.390140,22.487099,-65.926980,-89.951256,0.0
152,58.390140,22.487099,-65.926980,-89.951256,0.0
153,58.390140,22.487099,-65.926980,-89.951256,0.0
154,58.390140,22.487099,-65.926980,-89.951256,0.0
155,58.390140,22.487099,-65.926980,-89.951256,0.0
156,58.390140,22.487099,-65.926980,-89.951256,0.0
157,58.390140,22.487099,-65.926980,-89.951256,0.0
158,58.390140,22.487099,-65.926980,-89.951256,0.0
159,58.390140,22.487099,-65.926980,-89.951256,0.0
160,58.390140,22.487099,-65.926980,-89.951256,0.0
161,58.390140,22.487099,-65.926980,-89.951256,0.0
162,58.390140,22.487099,-65.926980,-89.951256,0.0
163,58.390140,22.487099,-65.926980,-89.951256,0.0
164,58.390140,22.487099,-65.926980,-89.951256,0.0
165,58.390140,22.487099,-65.926980,-89.951256,0.0
166,58.390140,22.487099,-65.926980,-89.951256,0.0
167,58.390140,22.487099,-65.926980,-89.951256,0.0
168,58.390140,22.487099,-65.926980,-89.951256,0.0
169,58.390140,22.487099,-65.926980,-89.951256,0.0
170,58.390140,22.487099,-65.926980,-89.951256,0.0
171,58.390140,22.487099,-65.926980,-89.951256,0.0
172,58.390140,22.487099,-65.926980,-89.951256,0.0
173,58.390140,22.487099,-65.926980,-89.951256,0.0
174,58.390140,22.487099,-65.926980,-89.951256,0.0
175,58.390140,22.487099,-65.926980,-89.951256,0.0
176,58.390140,22.487099,-65.926980,-89.951256,0.0
177,58.390140,22.487099,-65.926980,-89.951256,0.0
178,58.390140,22.487099,-65.926980,-89.951256,0.0
179,58.390140,22.487099,-65.926980,-89.951256,0.0
180,58.390140,22.487099,-65.926980,-89.951256,0.0
181,58.390140,22.487099,-65.926980,-89.951256,0.0
182,58.390140,22.487099,-65.926980,-89.951256,0.0
183,58.390140,22.487099,-65.926980,-89.951256,0.0
184,58.390140,22.487099,-65.926980,-89.951256,0.0
185,58.390140,22.487099,-65.926980,-89.951256,0.0
186,58.390140,22.487099,-65.926980,-89.951256,0.0
187,58.390140,22.487099,-65.926980,-89.951256,0.0
188,58.390140,22.487099,-65.926980,-89.951256,0.0
189,58.390140,22.487099,-65.926980,-89.951256,0.0
190,58.390140,22.487099,-65.926980,-89.951256,0.0
191,58.390140,22.487099,-65.926980,-89.951256,0.0
192,58.390140,22.487099,-65.926980,-89.951256,0.0
193,58.390140,22.487099,-65.926980,-89.951256,0.0
194,58.390140,22.487099,-65.926980,-89.951256,0.0
195,58.390140,22.487099,-65.926980,-89.951256,0.0
196,58.390140,22.487099,-65.926980,-89.951256,0.0
197,58.390140,22.487099,-65.926980,-89.951256,0.0
198,58.390140,22.487099,-65.926980,-89.951256,0.0
199,58.390140,22.487099,-68,-90,0.0
