step,q1,q2,q3,q4,q5
113,136.506504,15.620385,-55.512434,-69.695816,0.0
114,137.889335,15.778574,-56.074802,-70.401794,0.0
115,139.257396,15.935073,-56.631163,-71.100232,0.0
116,140.590708,16.087596,-57.173392,-71.780929,0.0
117,141.901988,16.237600,-57.706661,-72.450378,0.0
118,143.188883,16.384814,-58.230013,-73.107377,0.0
119,144.445555,16.528571,-58.741075,-73.748947,0.0
120,145.674721,16.669181,-59.240950,-74.376474,0.0
121,146.884889,16.807618,-59.733099,-74.994302,0.0
122,148.064942,16.942610,-60.213001,-75.596755,0.0
123,149.218294,17.074547,-60.682044,-76.185577,0.0
124,150.346367,17.203593,-61.140807,-76.761493,0.0
125,151.446039,17.329389,-61.588020,-77.322910,0.0
126,152.521254,17.452388,-62.025287,-77.871840,0.0
127,153.572226,17.572614,-62.452695,-78.408394,0.0
128,154.595814,17.689707,-62.868966,-78.930968,0.0
129,155.590098,17.803448,-63.273319,-79.438580,0.0
130,156.563788,17.914833,-63.669298,-79.935679,0.0
131,157.510586,18.023142,-64.054340,-80.419048,0.0
132,158.426127,18.127875,-64.426671,-80.886460,0.0
133,159.320148,18.230146,-64.790250,-81.342885,0.0
134,160.185640,18.329154,-65.142227,-81.784746,0.0
135,161.030590,18.425812,-65.485850,-82.216119,0.0
136,161.843134,18.518763,-65.816294,-82.630948,0.0
137,162.633197,18.609142,-66.137596,-83.034299,0.0
138,163.395802,18.696380,-66.447731,-83.423633,0.0
139,164.131816,18.780576,-66.747051,-83.799391,0.0
140,164.843474,18.861986,-67.036467,-84.162714,0.0
141,165.527759,18.940265,-67.314751,-84.512063,0.0
142,166.186659,19.015639,-67.582712,-84.848451,0.0
143,166.818081,19.087871,-67.839498,-85.170812,0.0
144,167.422158,19.156974,-68.085162,-85.479212,0.0
145,168.004560,19.223598,-68.322013,-85.776546,0.0
146,168.558828,19.287003,-68.547421,-86.059517,0.0
147,169.086552,19.347372,-68.762035,-86.328936,0.0
148,169.589352,19.404890,-68.966513,-86.585631,0.0
149,170.063983,19.459185,-69.159536,-86.827945,0.0
150,170.514328,19.510702,-69.342681,-87.057860,0.0
151,170.938510,19.559226,-69.515187,-87.274418,0.0
152,171.335917,19.604687,-69.676803,-87.477306,0.0
153,171.706958,19.647133,-69.827698,-87.666734,0.0
154,172.052864,19.686702,-69.968370,-87.843330,0.0
155,172.372068,19.723218,-70.098184,-88.006293,0.0
156,172.663890,19.756601,-70.216861,-88.155278,0.0
157,172.932382,19.787315,-70.326051,-88.292351,0.0
158,173.173904,19.814943,-70.424273,-88.415655,0.0
159,173.388518,19.839494,-70.511552,-88.525222,0.0
160,173.576941,19.861049,-70.588180,-88.621418,0.0
161,173.740138,19.879718,-70.654548,-88.704736,0.0
162,173.877294,19.895408,-70.710327,-88.774758,0.0
163,173.987746,19.908043,-70.755245,-88.831147,0.0
164,174.072760,19.917768,-70.789819,-88.874549,0.0
165,174.131399,19.924476,-70.813666,-88.904486,0.0
166,174.163616,19.928161,-70.826768,-88.920934,0.0
167,174.171872,19.929106,-70.830125,-88.925149,0.0
168,174.172285,19.929153,-70.830293,-88.925360,0.0
169,174.172302,19.929155,-70.830300,-88.925369,0.0
170,174.172303,19.929155,-70.830300,-88.925369,0.0
171,174.172303,19.929155,-70.830300,-88.925369,0.0
172,174.172303,19.929155,-70.830300,-88.925369,0.0
173,174.172303,19.929155,-70.830300,-88.925369,0.0
174,174.172303,19.929155,-70.830300,-88.925369,0.0
175,174.172303,19.929155,-70.830300,-88.925369,0.0
176,174.172303,19.929155,-70.830300,-88.925369,0.0
177,174.172303,19.929155,-70.830300,-88.925369,0.0
178,174.172303,19.929155,-70.830300,-88.925369,0.0
179,174.172303,19.929155,-70.830300,-88.925369,0.0
180,174.172303,19.929155,-70.830300,-88.925369,0.0
181,174.172303,19.929155,-70.830300,-88.925369,0.0
182,174.172303,19.929155,-70.830300,-88.925369,0.0
183,174.172303,19.929155,-70.830300,-88.925369,0.0
184,174.172303,19.929155,-70.830300,-88.925369,0.0
185,174.172303,19.929155,-70.830300,-88.925369,0.0
186,174.172303,19.929155,-70.830300,-88.925369,0.0
187,174.172303,19.929155,-70.830300,-88.925369,0.0
188,174.172303,19.929155,-70.830300,-88.925369,0.0
189,174.172303,19.929155,-70.830300,-88.925369,0.0
190,174.172303,19.929155,-70.830300,-88.925369,0.0
191,174.172303,19.929155,-70.830300,-88.925369,0.0
192,174.172303,19.929155,-70.830300,-88.925369,0.0
193,174.172303,19.929155,-70.830300,-88.925369,0.0
194,174.172303,19.929155,-70.830300,-88.925369,0.0
195,174.172303,19.929155,-70.830300,-88.925369,0.0
196,174.172303,19.929155,-70.830300,-88.925369,0.0
197,174.172303,19.929155,-70.830300,-88.925369,0.0
198,174.172303,19.929155,-70.830300,-88.925369,0.0
199,174.172303,19.929155,-70.830300,-88.925369,0.0
