step,q1,q2,q3,q4,q5
109,81.870099,15.523433,-39.253838,-89.952287,0.000777
110,80.959643,15.478346,-38.960491,-89.952295,0.000767
111,80.068709,15.434227,-38.673433,-89.952302,0.000757
112,79.194915,15.390956,-38.391898,-89.952310,0.000748
113,78.337230,15.348483,-38.115553,-89.952317,0.000738
114,77.498614,15.306954,-37.845353,-89.952324,0.000729
115,76.678921,15.266362,-37.581249,-89.952331,0.000720
116,75.877558,15.226678,-37.323051,-89.952338,0.000712
117,75.092579,15.187805,-37.070132,-89.952345,0.000703
118,74.326282,15.149858,-36.823232,-89.952352,0.000695
119,73.577929,15.112799,-36.582114,-89.952358,0.000687
120,72.849460,15.076724,-36.347403,-89.952364,0.000679
121,72.135893,15.041388,-36.117492,-89.952371,0.000671
122,71.441226,15.006988,-35.893672,-89.952377,0.000664
123,70.767314,14.973615,-35.676538,-89.952382,0.000656
124,70.110474,14.941088,-35.464906,-89.952388,0.000649
125,69.467157,14.909230,-35.257630,-89.952394,0.000642
126,68.845228,14.878432,-35.057245,-89.952399,0.000636
127,68.243187,14.848619,-34.863269,-89.952404,0.000629
128,67.654538,14.819468,-34.673607,-89.952409,0.000623
129,67.087596,14.791393,-34.490939,-89.952414,0.000617
130,66.535399,14.764048,-34.313022,-89.952419,0.000611
131,66.004765,14.737770,-34.142053,-89.952423,0.000605
132,65.489337,14.712246,-33.975982,-89.952428,0.000599
133,64.992788,14.687657,-33.815995,-89.952432,0.000594
134,64.514105,14.663952,-33.661764,-89.952436,0.000589
135,64.054960,14.641215,-33.513828,-89.952440,0.000584
136,63.612408,14.619299,-33.371239,-89.952444,0.000579
137,63.188388,14.598301,-33.234620,-89.952448,0.000574
138,62.782197,14.578187,-33.103746,-89.952451,0.000570
139,62.392680,14.558897,-32.978244,-89.952454,0.000566
140,62.022900,14.540586,-32.859102,-89.952458,0.000562
141,61.670107,14.523115,-32.745432,-89.952461,0.000558
142,61.335932,14.506567,-32.637762,-89.952464,0.000554
143,61.019143,14.490879,-32.535693,-89.952466,0.000551
144,60.721276,14.476128,-32.439720,-89.952469,0.000548
145,60.440976,14.462248,-32.349408,-89.952471,0.000545
146,60.177788,14.449214,-32.264610,-89.952474,0.000542
147,59.934206,14.437152,-32.186128,-89.952476,0.000539
148,59.707682,14.425934,-32.113142,-89.952478,0.000537
149,59.498854,14.415593,-32.045858,-89.952479,0.000534
150,59.308352,14.406159,-31.984479,-89.952481,0.000532
151,59.136520,14.397650,-31.929114,-89.952483,0.000530
152,58.981776,14.389987,-31.879256,-89.952484,0.000529
153,58.845018,14.383215,-31.835193,-89.952485,0.000527
154,58.726417,14.377342,-31.796980,-89.952486,0.000526
155,58.625937,14.372366,-31.764605,-89.952487,0.000525
156,58.543727,14.368295,-31.738117,-89.952488,0.000524
157,58.479096,14.365094,-31.717293,-89.952488,0.000523
158,58.432279,14.362776,-31.702209,-89.952489,0.000523
159,58.403905,14.361371,-31.693067,-89.952489,0.000523
160,58.393229,14.360842,-31.689627,-89.952489,0.000522
161,58.392113,14.360787,-31.689268,-89.952489,0.000522
