Step,q1,q2,q3,q4,q5
134,144.71,23.94,-54.01,-53.0,0.0
135,145.63,24.1,-54.57,-53.46,0.0
136,146.54,24.27,-55.11,-53.92,0.0
137,147.44,24.43,-55.66,-54.38,0.0
138,148.33,24.6,-56.19,-54.83,0.0
139,149.21,24.76,-56.73,-55.28,0.0
140,150.09,24.92,-57.26,-55.73,0.0
141,150.96,25.07,-57.78,-56.17,0.0
142,151.82,25.23,-58.3,-56.6,0.0
143,152.67,25.38,-58.81,-57.03,0.0
144,153.51,25.54,-59.32,-57.46,0.0
145,154.34,25.69,-59.82,-57.88,0.0
146,155.17,25.84,-60.32,-58.3,0.0
147,155.98,25.99,-60.81,-58.71,0.0
148,156.78,26.13,-61.29,-59.12,0.0
149,157.58,26.28,-61.77,-59.52,0.0
150,158.36,26.42,-62.24,-59.92,0.0
151,159.14,26.56,-62.71,-60.31,0.0
152,159.9,26.7,-63.17,-60.7,0.0
153,160.65,26.83,-63.62,-61.08,0.0
154,161.39,26.97,-64.07,-61.46,0.0
155,162.12,27.1,-64.51,-61.83,0.0
156,162.84,27.23,-64.94,-62.19,0.0
157,163.55,27.36,-65.37,-62.55,0.0
158,164.24,27.49,-65.79,-62.91,0.0
159,164.93,27.61,-66.2,-63.25,0.0
160,165.6,27.73,-66.6,-63.59,0.0
161,166.26,27.85,-67.0,-63.93,0.0
162,166.9,27.97,-67.39,-64.25,0.0
163,167.54,28.08,-67.77,-64.57,0.0
164,168.16,28.2,-68.15,-64.89,0.0
165,168.76,28.31,-68.51,-65.2,0.0
166,169.35,28.41,-68.87,-65.5,0.0
167,169.93,28.52,-69.22,-65.79,0.0
168,170.5,28.62,-69.56,-66.08,0.0
169,171.05,28.72,-69.89,-66.36,0.0
170,171.59,28.82,-70.22,-66.63,0.0
171,172.11,28.91,-70.53,-66.89,0.0
172,172.62,29.01,-70.84,-67.15,0.0
173,173.11,29.1,-71.13,-67.4,0.0
174,173.59,29.18,-71.42,-67.64,0.0
175,174.05,29.27,-71.7,-67.88,0.0
176,174.5,29.35,-71.97,-68.1,0.0
177,174.93,29.43,-72.23,-68.32,0.0
178,175.34,29.5,-72.48,-68.53,0.0
179,175.74,29.57,-72.72,-68.74,0.0
180,176.12,29.64,-72.95,-68.93,0.0
181,176.49,29.71,-73.17,-69.11,0.0
182,176.84,29.77,-73.38,-69.29,0.0
183,177.17,29.83,-73.58,-69.46,0.0
184,177.48,29.89,-73.77,-69.62,0.0
185,177.78,29.94,-73.95,-69.77,0.0
186,178.06,29.99,-74.12,-69.91,0.0
187,178.32,30.04,-74.27,-70.04,0.0
188,178.56,30.09,-74.42,-70.17,0.0
189,178.79,30.13,-74.56,-70.28,0.0
190,179.0,30.17,-74.68,-70.39,0.0
191,179.18,30.2,-74.79,-70.48,0.0
192,179.35,30.23,-74.9,-70.57,0.0
193,179.5,30.26,-74.99,-70.64,0.0
194,179.63,30.28,-75.07,-70.71,0.0
195,179.74,30.3,-75.13,-70.77,0.0
196,179.84,30.32,-75.19,-70.81,0.0
197,179.91,30.33,-75.23,-70.85,0.0
198,179.96,30.34,-75.26,-70.87,0.0
199,179.99,30.35,-75.28,-70.89,0.0
200,180.0,30.35,-75.29,-70.9,0.0
